,N,K,D,noise_std,sparsity,seed
113,100,20,"[400, 400, 400]",1.0,0.75,13
114,100,20,"[400, 400, 400]",1.0,0.75,14
115,100,20,"[400, 400, 400]",1.0,0.75,15
116,100,20,"[400, 400, 400]",1.0,0.75,16
117,100,20,"[400, 400, 400]",1.0,0.75,17
118,100,20,"[400, 400, 400]",1.0,0.75,18
119,100,20,"[400, 400, 400]",1.0,0.75,19
120,100,25,"[400, 400, 400]",1.0,0.75,0
121,100,25,"[400, 400, 400]",1.0,0.75,1
122,100,25,"[400, 400, 400]",1.0,0.75,2
123,100,25,"[400, 400, 400]",1.0,0.75,3
124,100,25,"[400, 400, 400]",1.0,0.75,4
125,100,25,"[400, 400, 400]",1.0,0.75,5
126,100,25,"[400, 400, 400]",1.0,0.75,6
127,100,25,"[400, 400, 400]",1.0,0.75,7
128,100,25,"[400, 400, 400]",1.0,0.75,8
129,100,25,"[400, 400, 400]",1.0,0.75,9
130,100,25,"[400, 400, 400]",1.0,0.75,10
131,100,25,"[400, 400, 400]",1.0,0.75,11
132,100,25,"[400, 400, 400]",1.0,0.75,12
133,100,25,"[400, 400, 400]",1.0,0.75,13
134,100,25,"[400, 400, 400]",1.0,0.75,14
135,100,25,"[400, 400, 400]",1.0,0.75,15
136,100,25,"[400, 400, 400]",1.0,0.75,16
137,100,25,"[400, 400, 400]",1.0,0.75,17
138,100,25,"[400, 400, 400]",1.0,0.75,18
139,100,25,"[400, 400, 400]",1.0,0.75,19
140,100,5,"[400, 400, 400]",0.25,0.75,0
141,100,5,"[400, 400, 400]",0.25,0.75,1
142,100,5,"[400, 400, 400]",0.25,0.75,2
143,100,5,"[400, 400, 400]",0.25,0.75,3
144,100,5,"[400, 400, 400]",0.25,0.75,4
145,100,5,"[400, 400, 400]",0.25,0.75,5
146,100,5,"[400, 400, 400]",0.25,0.75,6
147,100,5,"[400, 400, 400]",0.25,0.75,7
148,100,5,"[400, 400, 400]",0.25,0.75,8
149,100,5,"[400, 400, 400]",0.25,0.75,9
150,100,5,"[400, 400, 400]",0.25,0.75,10
151,100,5,"[400, 400, 400]",0.25,0.75,11
152,100,5,"[400, 400, 400]",0.25,0.75,12
153,100,5,"[400, 400, 400]",0.25,0.75,13
154,100,5,"[400, 400, 400]",0.25,0.75,14
155,100,5,"[400, 400, 400]",0.25,0.75,15
156,100,5,"[400, 400, 400]",0.25,0.75,16
157,100,5,"[400, 400, 400]",0.25,0.75,17
158,100,5,"[400, 400, 400]",0.25,0.75,18
159,100,5,"[400, 400, 400]",0.25,0.75,19
160,100,5,"[400, 400, 400]",0.5,0.75,0
161,100,5,"[400, 400, 400]",0.5,0.75,1
162,100,5,"[400, 400, 400]",0.5,0.75,2
163,100,5,"[400, 400, 400]",0.5,0.75,3
164,100,5,"[400, 400, 400]",0.5,0.75,4
165,100,5,"[400, 400, 400]",0.5,0.75,5
166,100,5,"[400, 400, 400]",0.5,0.75,6
167,100,5,"[400, 400, 400]",0.5,0.75,7
168,100,5,"[400, 400, 400]",0.5,0.75,8
169,100,5,"[400, 400, 400]",0.5,0.75,9
170,100,5,"[400, 400, 400]",0.5,0.75,10
171,100,5,"[400, 400, 400]",0.5,0.75,11
172,100,5,"[400, 400, 400]",0.5,0.75,12
173,100,5,"[400, 400, 400]",0.5,0.75,13
174,100,5,"[400, 400, 400]",0.5,0.75,14
175,100,5,"[400, 400, 400]",0.5,0.75,15
176,100,5,"[400, 400, 400]",0.5,0.75,16
177,100,5,"[400, 400, 400]",0.5,0.75,17
178,100,5,"[400, 400, 400]",0.5,0.75,18
179,100,5,"[400, 400, 400]",0.5,0.75,19
180,100,5,"[400, 400, 400]",0.75,0.75,0
181,100,5,"[400, 400, 400]",0.75,0.75,1
182,100,5,"[400, 400, 400]",0.75,0.75,2
183,100,5,"[400, 400, 400]",0.75,0.75,3
184,100,5,"[400, 400, 400]",0.75,0.75,4
185,100,5,"[400, 400, 400]",0.75,0.75,5
186,100,5,"[400, 400, 400]",0.75,0.75,6
187,100,5,"[400, 400, 400]",0.75,0.75,7
188,100,5,"[400, 400, 400]",0.75,0.75,8
189,100,5,"[400, 400, 400]",0.75,0.75,9
190,100,5,"[400, 400, 400]",0.75,0.75,10
191,100,5,"[400, 400, 400]",0.75,0.75,11
192,100,5,"[400, 400, 400]",0.75,0.75,12
193,100,5,"[400, 400, 400]",0.75,0.75,13
194,100,5,"[400, 400, 400]",0.75,0.75,14
195,100,5,"[400, 400, 400]",0.75,0.75,15
196,100,5,"[400, 400, 400]",0.75,0.75,16
197,100,5,"[400, 400, 400]",0.75,0.75,17
198,100,5,"[400, 400, 400]",0.75,0.75,18
199,100,5,"[400, 400, 400]",0.75,0.75,19
200,100,5,"[400, 400, 400]",1.25,0.75,0
201,100,5,"[400, 400, 400]",1.25,0.75,1
202,100,5,"[400, 400, 400]",1.25,0.75,2
203,100,5,"[400, 400, 400]",1.25,0.75,3
204,100,5,"[400, 400, 400]",1.25,0.75,4
205,100,5,"[400, 400, 400]",1.25,0.75,5
206,100,5,"[400, 400, 400]",1.25,0.75,6
207,100,5,"[400, 400, 400]",1.25,0.75,7
208,100,5,"[400, 400, 400]",1.25,0.75,8
209,100,5,"[400, 400, 400]",1.25,0.75,9
210,100,5,"[400, 400, 400]",1.25,0.75,10
211,100,5,"[400, 400, 400]",1.25,0.75,11
212,100,5,"[400, 400, 400]",1.25,0.75,12
213,100,5,"[400, 400, 400]",1.25,0.75,13
214,100,5,"[400, 400, 400]",1.25,0.75,14
215,100,5,"[400, 400, 400]",1.25,0.75,15
216,100,5,"[400, 400, 400]",1.25,0.75,16
217,100,5,"[400, 400, 400]",1.25,0.75,17
218,100,5,"[400, 400, 400]",1.25,0.75,18
219,100,5,"[400, 400, 400]",1.25,0.75,19
220,100,5,"[400, 400, 400]",1.5,0.75,0
221,100,5,"[400, 400, 400]",1.5,0.75,1
222,100,5,"[400, 400, 400]",1.5,0.75,2
223,100,5,"[400, 400, 400]",1.5,0.75,3
224,100,5,"[400, 400, 400]",1.5,0.75,4
225,100,5,"[400, 400, 400]",1.5,0.75,5
226,100,5,"[400, 400, 400]",1.5,0.75,6
227,100,5,"[400, 400, 400]",1.5,0.75,7
228,100,5,"[400, 400, 400]",1.5,0.75,8
229,100,5,"[400, 400, 400]",1.5,0.75,9
230,100,5,"[400, 400, 400]",1.5,0.75,10
231,100,5,"[400, 400, 400]",1.5,0.75,11
232,100,5,"[400, 400, 400]",1.5,0.75,12
233,100,5,"[400, 400, 400]",1.5,0.75,13
234,100,5,"[400, 400, 400]",1.5,0.75,14
235,100,5,"[400, 400, 400]",1.5,0.75,15
236,100,5,"[400, 400, 400]",1.5,0.75,16
237,100,5,"[400, 400, 400]",1.5,0.75,17
238,100,5,"[400, 400, 400]",1.5,0.75,18
239,100,5,"[400, 400, 400]",1.5,0.75,19
240,100,5,"[400, 400, 400]",1.75,0.75,0
241,100,5,"[400, 400, 400]",1.75,0.75,1
242,100,5,"[400, 400, 400]",1.75,0.75,2
243,100,5,"[400, 400, 400]",1.75,0.75,3
244,100,5,"[400, 400, 400]",1.75,0.75,4
245,100,5,"[400, 400, 400]",1.75,0.75,5
246,100,5,"[400, 400, 400]",1.75,0.75,6
247,100,5,"[400, 400, 400]",1.75,0.75,7
248,100,5,"[400, 400, 400]",1.75,0.75,8
249,100,5,"[400, 400, 400]",1.75,0.75,9
250,100,5,"[400, 400, 400]",1.75,0.75,10
251,100,5,"[400, 400, 400]",1.75,0.75,11
252,100,5,"[400, 400, 400]",1.75,0.75,12
253,100,5,"[400, 400, 400]",1.75,0.75,13
254,100,5,"[400, 400, 400]",1.75,0.75,14
255,100,5,"[400, 400, 400]",1.75,0.75,15
256,100,5,"[400, 400, 400]",1.75,0.75,16
257,100,5,"[400, 400, 400]",1.75,0.75,17
258,100,5,"[400, 400, 400]",1.75,0.75,18
259,100,5,"[400, 400, 400]",1.75,0.75,19
260,100,5,"[400, 400, 400]",2.0,0.75,0
261,100,5,"[400, 400, 400]",2.0,0.75,1
262,100,5,"[400, 400, 400]",2.0,0.75,2
263,100,5,"[400, 400, 400]",2.0,0.75,3
264,100,5,"[400, 400, 400]",2.0,0.75,4
265,100,5,"[400, 400, 400]",2.0,0.75,5
266,100,5,"[400, 400, 400]",2.0,0.75,6
267,100,5,"[400, 400, 400]",2.0,0.75,7
268,100,5,"[400, 400, 400]",2.0,0.75,8
269,100,5,"[400, 400, 400]",2.0,0.75,9
270,100,5,"[400, 400, 400]",2.0,0.75,10
271,100,5,"[400, 400, 400]",2.0,0.75,11
272,100,5,"[400, 400, 400]",2.0,0.75,12
273,100,5,"[400, 400, 400]",2.0,0.75,13
274,100,5,"[400, 400, 400]",2.0,0.75,14
275,100,5,"[400, 400, 400]",2.0,0.75,15
276,100,5,"[400, 400, 400]",2.0,0.75,16
277,100,5,"[400, 400, 400]",2.0,0.75,17
278,100,5,"[400, 400, 400]",2.0,0.75,18
279,100,5,"[400, 400, 400]",2.0,0.75,19
280,100,5,"[400, 400, 400]",2.5,0.75,0
281,100,5,"[400, 400, 400]",2.5,0.75,1
282,100,5,"[400, 400, 400]",2.5,0.75,2
283,100,5,"[400, 400, 400]",2.5,0.75,3
284,100,5,"[400, 400, 400]",2.5,0.75,4
285,100,5,"[400, 400, 400]",2.5,0.75,5
286,100,5,"[400, 400, 400]",2.5,0.75,6
287,100,5,"[400, 400, 400]",2.5,0.75,7
288,100,5,"[400, 400, 400]",2.5,0.75,8
289,100,5,"[400, 400, 400]",2.5,0.75,9
290,100,5,"[400, 400, 400]",2.5,0.75,10
291,100,5,"[400, 400, 400]",2.5,0.75,11
292,100,5,"[400, 400, 400]",2.5,0.75,12
293,100,5,"[400, 400, 400]",2.5,0.75,13
294,100,5,"[400, 400, 400]",2.5,0.75,14
295,100,5,"[400, 400, 400]",2.5,0.75,15
296,100,5,"[400, 400, 400]",2.5,0.75,16
297,100,5,"[400, 400, 400]",2.5,0.75,17
298,100,5,"[400, 400, 400]",2.5,0.75,18
299,100,5,"[400, 400, 400]",2.5,0.75,19
300,100,5,"[400, 400, 400]",1.0,0.65,0
301,100,5,"[400, 400, 400]",1.0,0.65,1
302,100,5,"[400, 400, 400]",1.0,0.65,2
303,100,5,"[400, 400, 400]",1.0,0.65,3
304,100,5,"[400, 400, 400]",1.0,0.65,4
305,100,5,"[400, 400, 400]",1.0,0.65,5
306,100,5,"[400, 400, 400]",1.0,0.65,6
307,100,5,"[400, 400, 400]",1.0,0.65,7
308,100,5,"[400, 400, 400]",1.0,0.65,8
309,100,5,"[400, 400, 400]",1.0,0.65,9
310,100,5,"[400, 400, 400]",1.0,0.65,10
311,100,5,"[400, 400, 400]",1.0,0.65,11
312,100,5,"[400, 400, 400]",1.0,0.65,12
313,100,5,"[400, 400, 400]",1.0,0.65,13
314,100,5,"[400, 400, 400]",1.0,0.65,14
315,100,5,"[400, 400, 400]",1.0,0.65,15
316,100,5,"[400, 400, 400]",1.0,0.65,16
317,100,5,"[400, 400, 400]",1.0,0.65,17
318,100,5,"[400, 400, 400]",1.0,0.65,18
319,100,5,"[400, 400, 400]",1.0,0.65,19
320,100,5,"[400, 400, 400]",1.0,0.7,0
321,100,5,"[400, 400, 400]",1.0,0.7,1
322,100,5,"[400, 400, 400]",1.0,0.7,2
323,100,5,"[400, 400, 400]",1.0,0.7,3
324,100,5,"[400, 400, 400]",1.0,0.7,4
325,100,5,"[400, 400, 400]",1.0,0.7,5
326,100,5,"[400, 400, 400]",1.0,0.7,6
327,100,5,"[400, 400, 400]",1.0,0.7,7
328,100,5,"[400, 400, 400]",1.0,0.7,8
329,100,5,"[400, 400, 400]",1.0,0.7,9
330,100,5,"[400, 400, 400]",1.0,0.7,10
331,100,5,"[400, 400, 400]",1.0,0.7,11
332,100,5,"[400, 400, 400]",1.0,0.7,12
333,100,5,"[400, 400, 400]",1.0,0.7,13
334,100,5,"[400, 400, 400]",1.0,0.7,14
335,100,5,"[400, 400, 400]",1.0,0.7,15
336,100,5,"[400, 400, 400]",1.0,0.7,16
337,100,5,"[400, 400, 400]",1.0,0.7,17
338,100,5,"[400, 400, 400]",1.0,0.7,18
339,100,5,"[400, 400, 400]",1.0,0.7,19
340,100,5,"[400, 400, 400]",1.0,0.8,0
341,100,5,"[400, 400, 400]",1.0,0.8,1
342,100,5,"[400, 400, 400]",1.0,0.8,2
343,100,5,"[400, 400, 400]",1.0,0.8,3
344,100,5,"[400, 400, 400]",1.0,0.8,4
345,100,5,"[400, 400, 400]",1.0,0.8,5
346,100,5,"[400, 400, 400]",1.0,0.8,6
347,100,5,"[400, 400, 400]",1.0,0.8,7
348,100,5,"[400, 400, 400]",1.0,0.8,8
349,100,5,"[400, 400, 400]",1.0,0.8,9
350,100,5,"[400, 400, 400]",1.0,0.8,10
351,100,5,"[400, 400, 400]",1.0,0.8,11
352,100,5,"[400, 400, 400]",1.0,0.8,12
353,100,5,"[400, 400, 400]",1.0,0.8,13
354,100,5,"[400, 400, 400]",1.0,0.8,14
355,100,5,"[400, 400, 400]",1.0,0.8,15
356,100,5,"[400, 400, 400]",1.0,0.8,16
357,100,5,"[400, 400, 400]",1.0,0.8,17
358,100,5,"[400, 400, 400]",1.0,0.8,18
359,100,5,"[400, 400, 400]",1.0,0.8,19
360,100,5,"[400, 400, 400]",1.0,0.85,0
361,100,5,"[400, 400, 400]",1.0,0.85,1
362,100,5,"[400, 400, 400]",1.0,0.85,2
363,100,5,"[400, 400, 400]",1.0,0.85,3
364,100,5,"[400, 400, 400]",1.0,0.85,4
365,100,5,"[400, 400, 400]",1.0,0.85,5
366,100,5,"[400, 400, 400]",1.0,0.85,6
367,100,5,"[400, 400, 400]",1.0,0.85,7
368,100,5,"[400, 400, 400]",1.0,0.85,8
369,100,5,"[400, 400, 400]",1.0,0.85,9
370,100,5,"[400, 400, 400]",1.0,0.85,10
371,100,5,"[400, 400, 400]",1.0,0.85,11
372,100,5,"[400, 400, 400]",1.0,0.85,12
373,100,5,"[400, 400, 400]",1.0,0.85,13
374,100,5,"[400, 400, 400]",1.0,0.85,14
375,100,5,"[400, 400, 400]",1.0,0.85,15
376,100,5,"[400, 400, 400]",1.0,0.85,16
377,100,5,"[400, 400, 400]",1.0,0.85,17
378,100,5,"[400, 400, 400]",1.0,0.85,18
379,100,5,"[400, 400, 400]",1.0,0.85,19
