N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,1,"[400, 400, 400]",0.2,0.2,8,30,0.49832285981551544,0.4983228598155154,0.9987158715871586,model_tucker_0.01,0.01,0.7578520770010132,0.664119341713778
100,1,"[400, 400, 400]",0.2,0.2,9,30,0.49280962321374217,0.4928096232137421,0.9989318931893187,model_tucker_0.01,0.01,0.6903073286052009,0.666454016601475
100,1,"[400, 400, 400]",0.2,0.2,11,30,0.49811559038752407,0.49811559038752407,0.999003900390039,model_tucker_0.01,0.01,0.7041861661922452,0.6834503198075702
100,1,"[400, 400, 400]",0.2,0.2,10,30,0.5005818349733792,0.500581834973379,0.9987758775877587,model_tucker_0.01,0.01,0.7396786240449517,0.6863219618705984
100,1,"[400, 400, 400]",0.2,0.2,12,30,0.4897904899007542,0.48979048990075424,0.9988238823882388,model_tucker_0.01,0.01,0.7165204245949587,0.6566104873822797
100,1,"[400, 400, 400]",0.2,0.2,13,30,0.49313209304274935,0.4931320930427494,0.9987758775877587,model_tucker_0.01,0.01,0.7021276595744682,0.6838094759004747
100,1,"[400, 400, 400]",0.2,0.2,14,30,0.5072471497265673,0.5072471497265674,0.9982958295829581,model_tucker_0.01,0.01,0.7155240346729709,0.7011232105253197
100,1,"[400, 400, 400]",0.2,0.2,15,30,0.4961204335222214,0.49612043352222135,0.9983918391839184,model_tucker_0.01,0.01,0.7165204245949588,0.6779878598494364
100,1,"[400, 400, 400]",0.2,0.2,16,30,0.49455953563637944,0.49455953563637944,0.998187818781878,model_tucker_0.01,0.01,0.6622697563874035,0.6601850014965098
100,1,"[400, 400, 400]",0.2,0.2,17,30,0.4949997878527359,0.4949997878527358,0.9983678367836782,model_tucker_0.01,0.01,0.768303186907838,0.6651813801952363
100,1,"[400, 400, 400]",0.2,0.2,18,30,0.4943572107330156,0.49435721073301553,0.9993999399939993,model_tucker_0.01,0.01,0.752012882447665,0.6591727645161735
100,1,"[400, 400, 400]",0.2,0.2,19,30,0.48909499624720626,0.4890949962472063,0.9989318931893187,model_tucker_0.01,0.01,0.7396786240449517,0.6788075305940197
100,7,"[400, 400, 400]",0.2,0.2,0,7,0.6517915520680668,0.6517915520680668,0.6133333333333333,model_tucker_0.01,0.01,0.35847890505363633,0.45401401486622184
