N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,15,3,0.6673526361963438,0.6795178081097563,0.6134533453345334,model_cling_ablation2,,0.5218118529427833,0.4442784641575908
100,5,"[400, 400, 400]",0.2,0.2,13,3,0.4802241626799331,0.48840252132616946,0.5114071407140715,model_cling_ablation2,,0.3611121368935296,0.41597649943243825
100,5,"[400, 400, 400]",0.2,0.2,14,3,0.401011793634144,0.38761721909663216,0.6599123912391238,model_cling_ablation2,,0.466073797508832,0.4855052735651461
100,5,"[400, 400, 400]",0.2,0.2,17,3,0.39130366221621715,0.36066464638343154,0.6525916591659165,model_cling_ablation2,,0.534341511193735,0.49054418720529835
100,5,"[400, 400, 400]",0.2,0.2,16,3,0.5329127882437984,0.5144198539261553,0.6272955295529552,model_cling_ablation2,,0.5310089674891714,0.4697832013288089
100,5,"[400, 400, 400]",0.2,0.2,18,3,0.3699076680973618,0.37800296323435256,0.6293621362136212,model_cling_ablation2,,0.49802988673783527,0.44532479063252856
100,5,"[400, 400, 400]",0.2,0.2,19,4,0.35386221426310777,0.08784938737246872,0.7535913591359135,model_cling_ablation2,,0.5326215079273326,0.5421771283925322
100,1,"[400, 400, 400]",0.2,0.2,1,1,0.6290899375688157,0.7097842129564014,0.9998919891989198,model_cling_ablation2,,0.983739837398374,0.6842027820047262
100,1,"[400, 400, 400]",0.2,0.2,2,1,0.43595265882454615,0.33593226550472277,0.9998559855985597,model_cling_ablation2,,0.9519938056523422,0.6814234751981815
100,1,"[400, 400, 400]",0.2,0.2,0,1,0.42524285226410957,0.3415049209735318,0.9996519651965194,model_cling_ablation2,,0.9674796747967479,0.7109558307069536
100,1,"[400, 400, 400]",0.2,0.2,3,1,0.5401324789089016,0.5526125492688508,0.9999159915991598,model_cling_ablation2,,0.9357336430507162,0.6934297525876648
100,1,"[400, 400, 400]",0.2,0.2,6,1,0.4655531952098973,0.0243193306323638,0.9998199819981998,model_cling_ablation2,,0.9512195121951219,0.6974341234500208
100,1,"[400, 400, 400]",0.2,0.2,5,1,0.38452337326567826,0.018888804069756904,0.9997959795979596,model_cling_ablation2,,0.9202477739063104,0.6828755206045841
100,1,"[400, 400, 400]",0.2,0.2,4,1,0.46739832097116746,0.08085468494182091,0.9997719771977197,model_cling_ablation2,,0.9357336430507162,0.6846640018362762
100,1,"[400, 400, 400]",0.2,0.2,7,1,0.6091590474960487,0.6055903343283535,0.9999519951995199,model_cling_ablation2,,0.9512195121951219,0.654886073558255
