N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,18,6,0.5566691547575834,0.5566691691889242,0.9174725472547255,model_muvi_0.01,0.01,0.6497923555616569,0.5771910919394709
100,5,"[400, 400, 400]",0.2,0.2,17,6,0.7436535442851288,0.7436535442851286,0.8239783978397839,model_muvi_0.01,0.01,0.4674606010666472,0.5347787365741483
100,5,"[400, 400, 400]",0.2,0.2,19,5,0.42551928011258006,0.4255192326314522,0.7788298829882988,model_muvi_0.01,0.01,0.4640930079869125,0.5806261100103319
100,1,"[400, 400, 400]",0.2,0.2,0,4,0.43404423860533115,0.4340442153851116,0.9934833483348334,model_muvi_0.01,0.01,0.9217423403469915,0.7127084416697219
100,1,"[400, 400, 400]",0.2,0.2,2,5,0.4243739386635261,0.4243739056830177,0.9594959495949594,model_muvi_0.01,0.01,0.8463706835799859,0.6661393891788558
100,1,"[400, 400, 400]",0.2,0.2,1,1,0.3705764273604293,0.3705764063198351,0.9994359435943594,model_muvi_0.01,0.01,0.9674796747967479,0.6851150475060552
100,1,"[400, 400, 400]",0.2,0.2,3,5,0.4465210394943407,0.44652103974903534,0.9375457545754574,model_muvi_0.01,0.01,0.8470418470418472,0.6580916708115084
100,1,"[400, 400, 400]",0.2,0.2,4,1,0.37461084294188157,0.3746108429418816,0.999003900390039,model_muvi_0.01,0.01,0.9512195121951219,0.6843416780388946
100,1,"[400, 400, 400]",0.2,0.2,6,2,0.42279491366617666,0.42279488410028765,0.9953195319531951,model_muvi_0.01,0.01,0.9217423403469915,0.6976556764179648
100,1,"[400, 400, 400]",0.2,0.2,5,1,0.3736415964222786,0.3736415642030142,0.9996039603960395,model_muvi_0.01,0.01,0.9202477739063104,0.6838885386496779
100,1,"[400, 400, 400]",0.2,0.2,7,6,0.5681380244739273,0.5681379935785207,0.9422262226222622,model_muvi_0.01,0.01,0.8611362797409309,0.6274593621414244
100,1,"[400, 400, 400]",0.2,0.2,8,7,0.5931117114258913,0.5931117114258913,0.9555835583558355,model_muvi_0.01,0.01,0.8928823114869626,0.6450567865624331
100,1,"[400, 400, 400]",0.2,0.2,9,7,0.5998752836874895,0.5998752732170848,0.9196999699969995,model_muvi_0.01,0.01,0.8181818181818182,0.6273738234997376
100,1,"[400, 400, 400]",0.2,0.2,10,5,0.52663306903519,0.5266330403515529,0.9736453645364535,model_muvi_0.01,0.01,0.9519938056523422,0.6754148844747693
