N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,17,4,0.6313029573695038,0.6109672635127936,0.8392823282328232,model_cling_ablation2a,,0.7137528873695196,0.5965589119913131
100,5,"[400, 400, 400]",0.2,0.2,18,4,0.4653174187433273,0.47197082232620846,0.7911719171917191,model_cling_ablation2a,,0.5764289274006283,0.5554015023518573
100,5,"[400, 400, 400]",0.2,0.2,19,4,0.376592303227689,0.09076261263940666,0.7227626762676267,model_cling_ablation2a,,0.4536011795496358,0.5212666676556975
100,1,"[400, 400, 400]",0.2,0.2,0,1,0.4251131128745506,0.3412728248572625,0.9996519651965194,model_cling_ablation2a,,0.9674796747967479,0.7109558307069536
100,1,"[400, 400, 400]",0.2,0.2,1,1,0.6290788977859036,0.7097769570373325,0.9998919891989198,model_cling_ablation2a,,0.983739837398374,0.6842027820047262
100,1,"[400, 400, 400]",0.2,0.2,2,1,0.43567199995779143,0.3355772705897452,0.9998559855985597,model_cling_ablation2a,,0.9519938056523422,0.6814234751981815
100,1,"[400, 400, 400]",0.2,0.2,3,1,0.5401307560774905,0.5526109494645635,0.9999159915991598,model_cling_ablation2a,,0.9357336430507162,0.6934297525876648
100,1,"[400, 400, 400]",0.2,0.2,4,1,0.4673902640413168,0.08083285776501381,0.9997719771977197,model_cling_ablation2a,,0.9357336430507162,0.6846640018362762
100,1,"[400, 400, 400]",0.2,0.2,5,1,0.38452326568472145,0.018888660813609737,0.9997959795979596,model_cling_ablation2a,,0.9202477739063104,0.6828755206045841
100,1,"[400, 400, 400]",0.2,0.2,6,1,0.4655505013103687,0.024311883912612964,0.9998199819981998,model_cling_ablation2a,,0.9512195121951219,0.6974341234500208
100,1,"[400, 400, 400]",0.2,0.2,7,1,0.6091585670175864,0.6055898970279062,0.9999519951995199,model_cling_ablation2a,,0.9512195121951219,0.654886073558255
100,1,"[400, 400, 400]",0.2,0.2,8,1,0.7008091848652572,0.782271705971793,0.9997959795979596,model_cling_ablation2a,,0.983739837398374,0.6638533748393507
100,1,"[400, 400, 400]",0.2,0.2,9,1,0.6602540713369525,0.6562050113391884,0.9998679867986798,model_cling_ablation2a,,0.9519938056523422,0.6644102341299406
100,1,"[400, 400, 400]",0.2,0.2,10,1,0.5595769856712517,0.5810013319278462,0.9997599759975996,model_cling_ablation2a,,1.0,0.6852679971713878
100,1,"[400, 400, 400]",0.2,0.2,11,1,0.6601753671816205,0.7192701122626907,0.9998799879987997,model_cling_ablation2a,,0.983739837398374,0.6852963551520134
100,1,"[400, 400, 400]",0.2,0.2,13,1,0.41358119634036444,0.3771798618558101,0.9997959795979596,model_cling_ablation2a,,0.9372282094913972,0.6859536058832106
100,1,"[400, 400, 400]",0.2,0.2,12,1,0.5192724582230998,0.5267279781633377,0.9998199819981998,model_cling_ablation2a,,0.9357336430507162,0.6526911704410064
100,1,"[400, 400, 400]",0.2,0.2,14,1,0.7252062947457195,0.7958126256839622,0.9998679867986798,model_cling_ablation2a,,0.9519938056523422,0.6988768866994347
100,1,"[400, 400, 400]",0.2,0.2,15,1,0.6948338919473237,0.7071788769014742,0.9997239723972396,model_cling_ablation2a,,0.9519938056523422,0.676661576784891
100,1,"[400, 400, 400]",0.2,0.2,17,1,0.44798416194208796,0.4318917884935858,0.9996999699969996,model_cling_ablation2a,,0.9512195121951219,0.6645208567233182
100,1,"[400, 400, 400]",0.2,0.2,18,1,0.622881461603549,0.5439157923352083,0.9998559855985597,model_cling_ablation2a,,0.9674796747967479,0.660331899795258
100,1,"[400, 400, 400]",0.2,0.2,16,1,0.4612133489304335,0.4182963126972734,0.9997959795979596,model_cling_ablation2a,,0.9519938056523422,0.6553222210078595
100,1,"[400, 400, 400]",0.2,0.2,19,1,0.360534993490671,0.3394910985637013,0.9997719771977197,model_cling_ablation2a,,0.9519938056523422,0.677930762861575
100,7,"[400, 400, 400]",0.2,0.2,0,4,0.3639239008132307,0.20045116644379224,0.48737730915948724,model_cling_ablation2a,,0.2402522209646277,0.40392503734343244
100,7,"[400, 400, 400]",0.2,0.2,2,4,0.35106304686403816,0.3389140097007348,0.6145197376880545,model_cling_ablation2a,,0.42577525900566937,0.47909217589661396
100,7,"[400, 400, 400]",0.2,0.2,1,4,0.34460870222887285,0.30684842326450823,0.5636963696369637,model_cling_ablation2a,,0.36560298096204796,0.4409340488158448
100,7,"[400, 400, 400]",0.2,0.2,3,4,0.25525279126750283,0.24762567796666446,0.6418276113325618,model_cling_ablation2a,,0.4880445547934646,0.4713287191852469
100,7,"[400, 400, 400]",0.2,0.2,4,4,0.5027367516502482,0.4814992201348498,0.629205777720629,model_cling_ablation2a,,0.46645238662975264,0.48805132894538406
100,7,"[400, 400, 400]",0.2,0.2,7,3,0.35651465204698035,0.35081275680321633,0.4819167631048819,model_cling_ablation2a,,0.37372882425926546,0.3889179255140536
100,7,"[400, 400, 400]",0.2,0.2,6,4,0.25840759819149856,0.2350584971989056,0.6309322360807509,model_cling_ablation2a,,0.5134800034957034,0.4936697384308382
100,7,"[400, 400, 400]",0.2,0.2,5,5,0.2467925943233731,0.10619463847790267,0.6634503450345033,model_cling_ablation2a,,0.4153311834704189,0.43854490744520824
